game,console,Publisher,Release Year,Release Month,Release Day,Total Shipped,NA Sales,PAL Sales,Japan Sales,Other Sales,NS,PS4,XBOX ONE,PC,Genre(s),VGChartz Score,Metacritic(Critic),Metacritic(User),4Players,Destructoid,Edge,EGM,Game Informer,GameRevolution,GameSpot,GamesRadar+,IGN,Famitsu,Famitsu*5/2,Introduction
Ring Fit Adventure,NS,Nintendo,2019,10,18,10110000,N/A,N/A,N/A,N/A,1,0,0,0,"Miscellaneous, Exercise, Fitness",N/A,83,86,N/A,80,N/A,N/A,N/A,N/A,90,80,78,N/A,#VALUE!,"Ring Fit Adventure is an exercising action role-playing game developed and published by Nintendo for the Nintendo Switch. The game comes with two physical components: the Ring-Con, a Pilates ring that the user holds and one Joy-Con slots into, and a Leg Strap, a piece of fabric affixed to the user's leg that holds the other Joy-Con."
Luigi's Mansion 3,NS,Nintendo,2019,10,31,9590000,N/A,N/A,N/A,N/A,1,0,0,0,"Action Adventure, General",60,86,85,82,90,70,80,85,N/A,80,90,83,N/A,#VALUE!,"Luigi's Mansion 3 is an action-adventure video game developed by Next Level Games and published by Nintendo for the Nintendo Switch. It is the third installment in the Luigi's Mansion series following Luigi's Mansion: Dark Moon and was released on October 31, 2019. The game sees players taking on the role of Luigi who must explore a haunted hotel, incorporating different themes on each floor, and rescue his friends from the ghosts that inhabit it, after the group is tricked into visiting it for a vacation by King Boo."
Super Mario 3D All-Stars,NS,Nintendo,2020,9,18,9010000,N/A,N/A,N/A,N/A,1,0,0,0,"Miscellaneous, Compilation",70,82,63,87,85,N/A,N/A,N/A,70,80,80,N/A,N/A,#VALUE!,"Super Mario 3D All-Stars is a 2020 compilation of platform games for the Nintendo Switch. It commemorates the 35th anniversary of Nintendo's Super Mario franchise, with high-definition ports of Super Mario 64 (1996), Super Mario Sunshine (2002), and Super Mario Galaxy (2007)."
Super Mario Maker 2,NS,Nintendo,2019,6,28,7150000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Platformer",N/A,88,85,N/A,N/A,N/A,80,87.5,90,80,90,95,N/A,#VALUE!,"Super Mario Maker 2 is a 2019 side-scrolling platform game and game creation system developed and published by Nintendo for the Nintendo Switch. It is the sequel to Super Mario Maker and was released worldwide on June 28, 2019. The gameplay is largely retained from that of its predecessor, in which players create their own custom courses using assets from various games across the Super Mario franchise and share them online. Super Mario Maker 2 introduces new features and course assets, including a single player story mode and new level assets based on Super Mario 3D World."
Monster Hunter Rise,NS,Capcom,2021,3,26,7000000,N/A,N/A,N/A,N/A,1,0,0,0,"Role-Playing, Action RPG",70,88,91,87,90,N/A,N/A,78,85,90,80,80,38,95,"Monster Hunter Rise is an action role-playing game developed and published by Capcom for the Nintendo Switch. It is the sixth mainline installment in the Monster Hunter series after Monster Hunter: World (2018) and was released worldwide on March 26, 2021. A Microsoft Windowsversion is currently in development and is planned for an early 2022 release."
Super Mario 3D World + Bowser's Fury,NS,Nintendo,2021,2,12,5590000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Platformer, 3D",N/A,89,85,90,100,90,80,92.5,90,90,90,96,38,95,"Super Mario 3D World is a platform game developed and published by Nintendo for the Wii U in November 2013. It is the sixth original 3D platform game in the Super Mario series and the sequel to Super Mario 3D Land (2011) for the Nintendo 3DS. The game follows Mario and friends attempting to rescue fairy-like creatures called Sprixies from Bowser, who invades the realm known as the Sprixie Kingdom. The gameplay is similar to previous installments of the series, with players passing through individual levels to reach Bowser. The game features a character selector as well as introducing a power-up called the Super Bell, which turns the player into a cat, enabling them to climb walls and use a scratch attack. An enhanced port with additional content, Super Mario 3D World + Bowser's Fury, was released for the Nintendo Switch on February 12, 2021."
The Legend of Zelda: Link's Awakening,NS,Nintendo,2019,9,20,5490000,N/A,N/A,N/A,N/A,1,0,0,0,"Action Adventure, Open-World",80,87,84,90,90,N/A,80,90,60,80,80,94,N/A,#VALUE!,"The Legend of Zelda: Link's Awakening[a] is a 1993 action-adventure game developed and published by Nintendo for the Game Boy. It is the fourth installment in the Legend of Zelda series and the first for a handheld game console. Link's Awakening is one of the few Zelda games not to take place in the land of Hyrule, and it does not feature Princess Zelda or the Triforce relic. Instead, protagonist Link begins the game stranded on Koholint Island, a place guarded by a whale-like deity called the Wind Fish. Assuming the role of Link, the player fights monsters and solves puzzles while searching for eight musical instruments that will awaken the sleeping Wind Fish and allow him to escape from the island."
Hyrule Warriors: Age of Calamity,NS,Nintendo,2020,11,20,3700000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Beat-'Em-Up, 3D",50,78,79,80,85,N/A,80,75,N/A,60,80,90,36,90,"Hyrule Warriors: Age of Calamity is a hack-and-slash video game developed by Omega Force. It was published by Koei Tecmo in Japan and by Nintendo internationally for the Nintendo Switch console in 2020. In the story, set 100 years before the events of The Legend of Zelda: Breath of the Wild,[1] Link and Princess Zelda must gather allies across Hyrule to fend off forces led by the evil Calamity Ganon, who is attempting to revive himself and destroy the kingdom."
1-2-Switch,NS,Nintendo,2017,3,3,3180000,N/A,N/A,N/A,N/A,1,0,0,0,"Miscellaneous, Party, Minigame",57,58,48,N/A,45,N/A,N/A,40,N/A,60,N/A,68,N/A,#VALUE!,"1-2-Switch is a party game developed and published by Nintendo as a launch title for the Nintendo Switch, which was released worldwide on March 3, 2017.[1] The game extensively uses the system's Joy-Con controllers, with players facing each other performing various minigames.[2][3] By the end of 2019, it sold 3.18 million copies worldwide, making it one of the best-selling games on the platform."
Clubhouse Games: 51 Worldwide Classics,NS,Nintendo,2020,6,5,3140000,N/A,N/A,N/A,N/A,1,0,0,0,"Miscellaneous, Party, Minigame",80,82,76,78,85,N/A,100,N/A,N/A,N/A,N/A,80,N/A,#VALUE!,"Clubhouse Games: 51 Worldwide Classics, known as 51 Worldwide Games in Europe and Australia, is a party video game developed by NDcube and published by Nintendo for the Nintendo Switch. This game is a successor to Clubhouse Games (2005) for the Nintendo DS and is a compilation of board, card, tabletop, and toy sports games from around the world. It was released worldwide on June 5, 2020, and more than 3.14 million copies have been sold worldwide by April 2021."
Paper Mario: The Origami King,NS,Nintendo,2020,7,17,3120000,N/A,N/A,N/A,N/A,1,0,0,0,"Role-Playing, General",80,80,69,88,N/A,N/A,60,77.5,N/A,80,N/A,70,36,90,"Paper Mario: The Origami King[a] is a 2020 cross-genre video game released exclusively for the Nintendo Switch console. Developed by Intelligent Systems and published by Nintendo, it is the sixth game in the Paper Mario series, part of the larger Mario franchise. The story follows Mario and his friends as he sets out on a journey to prevent the Mushroom Kingdom from being transformed into origami. To do so, Mario must free Princess Peach's castle from five decorative streamers that extend across the kingdom."
Mario Tennis Aces,NS,Nintendo,2018,6,22,3060000,N/A,N/A,N/A,N/A,1,0,0,0,"Sports, Individual, Tennis",78,75,71,N/A,N/A,N/A,N/A,80,80,70,80,75,N/A,#VALUE!,"Mario Tennis Aces[a] is a tennis game developed by Camelot Software Planning and published by Nintendo for the Nintendo Switch. Part of the Mario Tennis series, it was released worldwide on June 22, 2018. The game sold over 3 million copies by the end of 2019, making it one of the best-selling games on the Switch."
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",NS,Konami,2020,11,19,3000000,N/A,N/A,N/A,N/A,1,0,0,0,"Party, Miscellaneous",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Momotaro Electric Railway ~ Showa Heisei, Reiwa is also a basic model! ～》(Japanese: Momotaro Electric Railway~Aka and Heisei Reiwa も定ban!~) is a game dedicated to Nintendo Switch developed by INFIGHT and published by Konami Digital Entertainment. It is the 23rd game in the Momotaro Electric Railway series. It will be released on September 2019. The Nintendo Direct meeting ""Nintendo Direct 2019.9.5"" aired on the 5th will be released for the first time in Japan on November 19, 2020."
Kirby Star Allies,NS,Nintendo,2018,3,16,2930000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Platformer",81,73,75,N/A,90,70,90,62.5,N/A,80,N/A,83,35,87.5,"Kirby Star Allies is a 2018 platform video game developed by HAL Laboratory and published by Nintendo for the Nintendo Switch. The sixteenth mainline installment in the Kirby series, the player controls Kirby in his quest to prevent a priest named Hyness from reviving a dark force to destroy the universe. Kirby must complete each level by jumping, inhaling enemies, and using his array of abilities to progress."
Fire Emblem: Three Houses,NS,Nintendo,2019,7,26,2870000,N/A,N/A,N/A,N/A,1,0,0,0,"Strategy, Turn-Based, Tactics",80,89,89,N/A,N/A,N/A,N/A,95,N/A,90,100,95,37,92.5,"Fire Emblem: Three Houses is a tactical role-playing game developed by Intelligent Systems and Koei Tecmo[b] for the Nintendo Switch and published worldwide by Nintendo. It is the sixteenth installment in the Fire Emblem series[c] and the first one for home consoles since Fire Emblem: Radiant Dawn, originally released in 2007."
Donkey Kong Country: Tropical Freeze,NS,Nintendo,2018,5,4,2650000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Platformer",91,86,86,90,100,70,95,92.5,90,90,90,90,35,87.5,"Donkey Kong Country: Tropical Freeze is a platform game developed by Retro Studios and published by Nintendo for the Wii U console. The fifth installment in the Donkey Kong Country series, Tropical Freeze is the direct sequel to the 2010 Wii game Donkey Kong Country Returns and was released in February 2014. An enhanced port for the Nintendo Switch was released in May 2018."
ARMS,NS,Nintendo,2017,6,16,2380000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Sports, Fighting",79,77,71,N/A,70,90,85,82.5,N/A,70,90,80,33,82.5,"""ARMS"" (English: ARMS, also translated as ""Armor Arm Fighter ARMS"") is a 3D fighting game developed by Nintendo Planning and Production Division and published by Nintendo on Nintendo Switch. This game features the game character using spring-like arms or hair to boxing. Players can use the Joy-Con of Nintendo Switch for somatosensory operations or use button operations to control their characters[3]. The game was first announced at the Nintendo Switch conference in January 2017, and was released globally on June 16, 2017[4]. On November 15th of the same year, Nintendo’s Hong Kong official website announced that it will support Chinese [5]. On November 30th, Simplified Chinese, Traditional Chinese and Korean were added to the 4.1 version of the game."
Xenoblade Chronicles 2,NS,Nintendo,2017,12,1,2050000,N/A,N/A,N/A,N/A,1,0,0,0,Action role-playing,82,83,87,90,80,70,70,75,90,70,N/A,85,35,87.5,"Xenoblade Chronicles 2[a] is an open world action role-playing game developed by Monolith Soft and published by Nintendo for the Nintendo Switch. Released worldwide on December 1, 2017, it is the third installment in Xenoblade Chronicles and the seventh main entry in the Xeno series. Plans for the game began shortly before the launch of Xenoblade Chronicles X in 2014. Key developers from previous games returned, including franchise creator Tetsuya Takahashi, and directors Koh Kojima and Genki Yokota. The team wanted to develop a story-driven game in the style of the original Xenoblade Chronicles. The game was announced in 2017 with a worldwide release date planned for the same year. As with Xenoblade Chronicles, the game was localized by Nintendo of Europe."
Pikmin 3 Deluxe,NS,Nintendo,2020,10,30,2040000,N/A,N/A,N/A,N/A,1,0,0,0,"Strategy, Real-Time, General",N/A,85,84,85,90,80,100,90,80,80,80,90,37,92.5,"Pikmin 3 is a real-time strategy and puzzle game developed and published by Nintendo for the Wii U video game console. It is the sequel to the GameCube games Pikmin (2001) and Pikmin 2 (2004) and was released in Japan on July 13, 2013 and in all other regions within the following month. Shigeru Miyamoto announced Pikmin 3 on July 16, 2008 for the Wii console, later stating at E3 2011 that it had transitioned to Wii U."
Mario + Rabbids: Kingdom Battle,NS,Ubisoft,2017,8,29,2000000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, General, Strategy, Turn-Based, Tactics",83,85,84,N/A,75,N/A,85,85,N/A,90,80,77,N/A,#VALUE!,"Mario + Rabbids Kingdom Battle is a turn-based tactical role-playing video game developed by Ubisoft Milan and published by Ubisoft for the Nintendo Switch. The game is a crossover between Nintendo's Mario and Ubisoft's Raving Rabbids franchises, and features both single and cooperative gameplay. The game's story sees players controlling Mario, his friends and a group of Rabbids dressed as them, dealing with the aftermath of a sudden invasion by a group of Rabbids, who have accidentally misused a powerful invention that has brought chaos to the Mushroom Kingdom."
Octopath Traveler,NS,Nintendo,2018,7,13,1900000,N/A,N/A,N/A,N/A,1,0,1,1,"General, Role-Playing, Japanese-Style",81,83,85,N/A,75,N/A,N/A,80,N/A,80,N/A,93,36,90,"Octopath Traveler is a role-playing video game developed by Square Enix, in collaboration with Acquire. The game was released for the Nintendo Switch in July 2018, for Microsoft Windows in June 2019, for Stadia in April 2020, and for Xbox One in March 2021. The game has sold over 2.5 million copies worldwide by February 2021 and received ""generally favorable"" critical reception, with the most common point of praise going to the graphics and art style. A prequel, Octopath Traveler: Conquerers of the Continent, was released in 2020 in Japan."
Minecraft,NS,Mojang,2018,6,21,1890000,690000,560000,520000,120000,1,1,1,1,"Sandbox, survival",92,86,75,N/A,N/A,90,N/A,92.5,N/A,85,N/A,95,N/A,#VALUE!,"Minecraft is a sandbox video game developed by Mojang. The game was created by Markus ""Notch"" Persson in the Java programming language. Following several early private testing versions, it was first made public in May 2009 before fully releasing in November 2011, with Jens Bergenstenthen taking over development. Minecraft has since been ported to several other platforms and is the best-selling video game of all time, with 200 million copies sold and 126 million monthly active users as of 2020."
Yoshi's Crafted World,NS,Nintendo,2019,3,29,1840000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Platformer, 3D",78,79,79,83,75,80,N/A,82.5,70,80,70,78,N/A,#VALUE!,"Yoshi's Crafted World is a side-scrolling platform video game developed by Good-Feel and published by Nintendo for the Nintendo Switch. The eighth main installment in the Yoshi franchise, the game was revealed at E3 2017, and was released worldwide on March 29, 2019. The game received generally positive reviews from critics and sold 1.11 million copies worldwide in three days, making it one of the best-selling games on the system. The game follows the Yoshis as they venture to collect the scattered gems of the Sundream Stone, which has the ability to grant wishes, before Kamek and Baby Bowser can."
Xenoblade Chronicles: Definitive Edition,NS,Nintendo,2020,5,29,1520000,N/A,N/A,N/A,N/A,1,0,0,0,"Role-Playing, Action RPG",75,89,90,90,95,90,80,95,80,90,90,80,36,90,"Xenoblade Chronicles is an open world action role-playing game developed by Monolith Soft and published by Nintendo for the Wii. Initially released in Japan in 2010, it was later released in the PAL regions in 2011 and then in North America in 2012. A port for the New Nintendo 3DS was released in 2015, and a high-definition remaster for the Nintendo Switch was released in May 2020. Xenoblade Chronicles is the first entry in the Xenoblade Chronicles series, a subseries which forms part of the larger Xeno metaseries. Although no direct narrative connections exist to previous Xeno games, it incorporates aesthetic and narrative elements from both fantasy and science fiction. The game features navigation through an open world split into zones, side-quests tied to party members' affinity, and a real-time action-based battle system which incorporates the main character's ability to see brief glimpses of the future."
Captain Toad: Treasure Tracker,NS,Nintendo,2018,7,13,1440000,N/A,N/A,N/A,N/A,1,0,0,0,"Puzzle, Action, Platformer, 3D",81,82,79,85,80,70,80,80,80,80,60,87,34,85,Captain Toad: Treasure Tracker is a 2014 action puzzle video game developed and published by Nintendo for the Wii U. It is a spin-off of the Super Mario series which builds upon the isometric minigames starring Captain Toad from Super Mario 3D World.
The Witcher 3: Complete Edition,NS,CD Projekt Red Studio,2019,10,15,1400000,N/A,N/A,N/A,N/A,1,1,1,1,"Role-Playing, Action RPG",N/A,85,85,N/A,80,N/A,N/A,97.5,70,100,80,93,N/A,#VALUE!,"The Witcher 3: Wild Hunt is an action role-playing game developed and published by Polish developer CD Projekt Red and is based on The Witcher series of fantasy novels written by Andrzej Sapkowski. It is the sequel to the 2011 game The Witcher 2: Assassins of Kings and the third main installment in The Witcher video game series, played in an open world with a third-person perspective."
Nintendo Labo: Toy-Con 01 Variety Kit,NS,Nintendo,2018,4,20,1310000,N/A,N/A,N/A,N/A,1,0,0,0,"Miscellaneous, Party, Minigame",77,77,69,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,N/A,#VALUE!,"Nintendo Labo[a] is a toys-to-life concept developed by Nintendo and released in April 2018. Labo consists of 2 parts, where one part is a game and one part is multiple sheets of cardboard. The games come as kits that include cardboard cut-outs and other materials that are to be assembled in combination with the Nintendo Switch console display and Joy-Con controllers to create a ""Toy-Con"" that can interact with the included game software and vice versa. Nintendo designed Labo as a way to teach principles of engineering, physics, and basic programming."
Mario Kart Live: Home Circuit,NS,Nintendo,2020,10,16,1270000,N/A,N/A,N/A,N/A,1,0,0,0,"Racing, Arcade, Automobile",N/A,75,74,77,N/A,N/A,N/A,75,N/A,70,N/A,70,N/A,#VALUE!,"Mario Kart Live: Home Circuit is a 2020 racing mixed reality game, being the fifteenth installment in the Mario Kart series and was released on October 16, 2020 for the Nintendo Switch. Developed by Velan Studios, Home Circuit utilizes physical radio-controlled cars responding to how the player plays in-game.[1] The game was released to celebrate the 35th anniversary of the Super Mario franchise. The game received favorable reviews."
Pokémon Mystery Dungeon: Rescue Team DX,NS,Nintendo,2020,3,6,1260000,N/A,N/A,N/A,N/A,1,0,0,0,"Role-Playing, Roguelike",N/A,68,82,66,N/A,N/A,N/A,N/A,60,80,60,60,35,87.5,"Pokémon Mystery Dungeon: Rescue Team DX is a 2020 remake of the 2005 video games Pokémon Mystery Dungeon: Blue Rescue Team and Red Rescue Team. It is part of the Pokémon Mystery Dungeon series developed by Spike Chunsoft, published by The Pokémon Company and distributed by Nintendo for the Nintendo Switch. Announced on January 9, 2020, it was released worldwide on March 6, 2020. The game is the first remake of a Pokémon game outside of the main series. The game features a new painterly-esque art style[1] and includes new features not seen in the originals such as Mega Evolution, autosave, and auto-mode. As of March 31, 2020, the game has sold 1.26 million copies."
Pokken Tournament DX,NS,Nintendo,2017,9,22,1160000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Fighting, 3D",80,79,76,70,75,60,60,70,80,90,60,80,N/A,#VALUE!,"Pokkén Tournament is a fighting game developed by Bandai Namco Entertainment. The game combines gameplay elements from Bandai Namco's Tekken series and other fighting games, such as 3D and 2D movement,[3] with characters from the Pokémon franchise.[4] It was released for Japanese arcades in July 2015, and worldwide for the Wii U in March 2016. An enhanced port for the Nintendo Switch, Pokkén Tournament DX, was released in September 2017. The arcade version was published by Bandai Namco, the Japanese console versions were published by The Pokémon Company, and the console versions outside of Japan were published by Nintendo."
The Elder Scrolls V: Skyrim,NS,Bethesda Softworks,2017,11,17,1150000,670000,320000,60000,100000,1,1,1,1,"Role-Playing, Western-Style",86,84,84,N/A,N/A,N/A,N/A,95,N/A,90,N/A,95,40,100,"The Elder Scrolls V: Skyrim is an open world action role-playing video game developed by Bethesda Game Studios and published by Bethesda Softworks. It is the fifth main installment in The Elder Scrolls series, following 2006's The Elder Scrolls IV: Oblivion, and was released worldwide for Microsoft Windows, PlayStation 3, and Xbox 360 on November 11, 2011."
Crash Bandicoot N. Sane Trilogy,NS,Activision,2018,6,29,1110000,440000,570000,20000,90000,1,1,1,1,"Miscellaneous, Compilation",60,78,82,N/A,85,N/A,80,80,90,60,70,85,N/A,#VALUE!,"Crash Bandicoot N. Sane Trilogy is a 2017 platform game developed by Vicarious Visions and published by Activision. It is a compilation of remasters of the first three games in the Crash Bandicoot series: Crash Bandicoot (1996), Cortex Strikes Back (1997), and Warped (1998); which were originally developed by Naughty Dog for the PlayStation. The game was released as a timed exclusive for PlayStation 4 in June 2017, with versions for Microsoft Windows, Nintendo Switch, and Xbox One being released in June 2018. It received positive reviews from critics, and sold over 10 million copies by February 2019."
FIFA 18,NS,EA Sports,2017,9,29,1100000,350000,550000,130000,70000,1,1,1,1,"Sports, Team, Soccer, Sim",58,68,59,N/A,N/A,N/A,N/A,87.5,90,70,90,55,N/A,#VALUE!,"FIFA 18 is a football simulation video game in the FIFA series, developed and published by Electronic Arts and was released worldwide on 29 September 2017 for Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One and Nintendo Switch. It is the 25th installment in the FIFA series. Portuguese footballer Cristiano Ronaldo, at the time contracted to Real Madrid appears as the cover athlete of the regular edition, as well as the alternate covers of the Icon and 2018 FIFA World Cup editions of the game"
Astral Chain,NS,Nintendo,2019,8,30,1080000,N/A,N/A,N/A,N/A,1,0,0,0,"Action Adventure, General",N/A,87,90,N/A,90,90,N/A,90,90,80,N/A,90,37,92.5,"Astral Chain is a 2019 action-adventure hack and slash video game developed by PlatinumGames and published by Nintendo for Nintendo Switch. It was directed by Takahisa Taura, who was previously lead game designer for Nier: Automata, under supervision by Devil May Cry and Bayonetta series creator Hideki Kamiya, and character designs from manga artist Masakazu Katsura."
Marvel Ultimate Alliance 3: The Black Order,NS,Nintendo,2019,7,19,1080000,N/A,N/A,N/A,N/A,1,0,0,0,"Role-Playing, Action RPG",N/A,73,73,N/A,70,N/A,N/A,70,N/A,80,80,78,N/A,#VALUE!,"Marvel Ultimate Alliance 3: The Black Order is a 2019 action role-playing video game developed by Koei Tecmo's Team Ninja and published by Nintendo for the Nintendo Switch. It is the third installment in the Marvel: Ultimate Alliance series following 2006's Marvel: Ultimate Alliance and 2009's Marvel: Ultimate Alliance 2, and the first Marvel game published by Nintendo. The story, set in a different universe from the two previous games,[1] follows a team of superheroes coming together to retrieve the six Infinity Stones before Thanos and the eponymous Black Order can, facing opposition from several other villainous forces along the way."
